epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,29,,,1356.8099365234375,0.18049763143062592,3679.939697265625,0.2012479305267334,823.2047119140625
0,,29,1178.5938720703125,,,,,,
,0.03,30,,,,,,,
1,,49,,626.6072998046875,,,,,
1,,59,,,4354.8623046875,0.15364722907543182,11521.3017578125,0.1417979747056961,3647.99560546875
1,,59,620.3855590820312,,,,,,
,0.03,60,,,,,,,
2,,89,,,3130.045654296875,0.12313574552536011,8295.33203125,0.11812883615493774,1292.2318115234375
2,,89,537.5415649414062,,,,,,
,0.03,90,,,,,,,
3,,99,,425.10394287109375,,,,,
3,,119,,,4049.546630859375,0.15172429382801056,10720.982421875,0.142403244972229,3144.220703125
3,,119,464.54119873046875,,,,,,
,0.03,120,,,,,,,
4,,149,,325.35479736328125,,,,,
4,,149,,,2610.938720703125,0.1346045583486557,7076.4599609375,0.13224759697914124,1464.963134765625
4,,149,443.3065490722656,,,,,,
,0.03,150,,,,,,,
5,,179,,,2313.720458984375,0.08726011216640472,6172.5439453125,0.08051501214504242,912.8340454101562
5,,179,436.2018127441406,,,,,,
,0.015,180,,,,,,,
6,,199,,337.37884521484375,,,,,
6,,209,,,2270.771240234375,0.08510798960924149,6135.20068359375,0.08213000744581223,1141.80419921875
6,,209,356.3608093261719,,,,,,
,0.015,210,,,,,,,
7,,239,,,402.44012451171875,0.06258903443813324,1283.919677734375,0.06552953273057938,265.5391540527344
7,,239,330.9338073730469,,,,,,
,0.015,240,,,,,,,
8,,249,,231.49818420410156,,,,,
8,,269,,,1756.423583984375,0.07989148050546646,4956.1533203125,0.0784553736448288,934.3850708007812
8,,269,301.54522705078125,,,,,,
,0.015,270,,,,,,,
9,,299,,264.5442810058594,,,,,
9,,299,,,2156.66259765625,0.08833865076303482,5999.66845703125,0.08605585247278214,1378.6365966796875
9,,299,305.1017150878906,,,,,,
,0.015,300,,,,,,,
10,,329,,,577.7305297851562,0.06639891862869263,1758.406005859375,0.06923112273216248,314.2335510253906
10,,329,280.3547058105469,,,,,,
,0.015,330,,,,,,,
11,,349,,229.8467254638672,,,,,
11,,359,,,1715.149658203125,0.09438709169626236,4855.08349609375,0.09383340924978256,842.9271240234375
11,,359,256.7673645019531,,,,,,
,0.015,360,,,,,,,
12,,389,,,2338.197265625,0.07287557423114777,6321.45361328125,0.06906469166278839,1240.7510986328125
12,,389,293.0128479003906,,,,,,
,0.015,390,,,,,,,
13,,399,,298.9512634277344,,,,,
13,,419,,,1932.246826171875,0.0831451490521431,5460.13037109375,0.08143697679042816,1187.135498046875
13,,419,263.7384948730469,,,,,,
,0.015,420,,,,,,,
14,,449,,257.67718505859375,,,,,
14,,449,,,2130.86083984375,0.08360458165407181,5929.39306640625,0.08118721097707748,1243.7630615234375
14,,449,248.38768005371094,,,,,,
,0.0075,450,,,,,,,
15,,479,,,2484.552001953125,0.08707211166620255,6814.97216796875,0.08297218382358551,1578.5352783203125
15,,479,260.9153747558594,,,,,,
,0.0075,480,,,,,,,
16,,499,,182.60899353027344,,,,,
16,,509,,,1938.6895751953125,0.08514480292797089,5429.546875,0.08384735882282257,1211.01171875
16,,509,228.21066284179688,,,,,,
,0.0075,510,,,,,,,
17,,539,,,2467.213623046875,0.0887874886393547,6749.9091796875,0.084934301674366,1573.5701904296875
17,,539,213.29705810546875,,,,,,
